1 1 TKN_MAIN main
2 1 TKN_LBRACE {
3 1 TKN_INT int
3 5 TKN_ID x
3 6 TKN_COMMA ,
3 7 TKN_ID y
3 8 TKN_COMMA ,
3 9 TKN_ID z
3 10 TKN_SEMICOLON ;
4 1 TKN_REAL real
4 6 TKN_ID x
4 7 TKN_COMMA ,
4 8 TKN_ID a
4 9 TKN_COMMA ,
4 10 TKN_ID b
4 11 TKN_COMMA ,
4 12 TKN_ID c
4 13 TKN_COMMA ,
4 14 TKN_ID c
4 15 TKN_SEMICOLON ;
5 1 TKN_ID a
5 2 TKN_PPLUS ++
5 4 TKN_SEMICOLON ;
6 1 TKN_ID b
6 2 TKN_LLESS --
6 4 TKN_SEMICOLON ;
7 1 TKN_ID x
7 2 TKN_ASSIGN :=
7 4 TKN_NUM 23
7 6 TKN_SEMICOLON ;
8 1 TKN_ID y
8 2 TKN_ASSIGN :=
8 4 TKN_NUM 2
8 5 TKN_ADD +
8 6 TKN_NUM 3
8 7 TKN_MINUS -
8 8 TKN_NUM 1
8 9 TKN_SEMICOLON ;
9 1 TKN_ID z
9 2 TKN_ASSIGN :=
9 4 TKN_ID y
9 5 TKN_ADD +
9 6 TKN_NUM 7
9 7 TKN_SEMICOLON ;
10 1 TKN_ID x
10 2 TKN_ASSIGN :=
10 4 TKN_LPAREN (
10 5 TKN_NUM 5
10 6 TKN_MINUS -
10 7 TKN_NUM 3
10 8 TKN_RPAREN )
10 9 TKN_MULTI *
10 10 TKN_LPAREN (
10 11 TKN_NUM 8
10 12 TKN_DIV /
10 13 TKN_NUM 2
10 14 TKN_RPAREN )
10 15 TKN_SEMICOLON ;
11 1 TKN_ID y
11 2 TKN_ASSIGN :=
11 4 TKN_NUM 5
11 5 TKN_ADD +
11 6 TKN_NUM 3
11 7 TKN_MINUS -
11 8 TKN_NUM 2
11 9 TKN_MULTI *
11 10 TKN_NUM 4
11 11 TKN_DIV /
11 12 TKN_NUM 7
11 13 TKN_MINUS -
11 14 TKN_NUM 9
11 15 TKN_SEMICOLON ;
12 1 TKN_ID z
12 2 TKN_ASSIGN :=
12 4 TKN_NUM 8
12 5 TKN_DIV /
12 6 TKN_NUM 2
12 7 TKN_ADD +
12 8 TKN_NUM 15
12 10 TKN_MULTI *
12 11 TKN_NUM 4
12 12 TKN_SEMICOLON ;
13 1 TKN_ID y
13 2 TKN_ASSIGN :=
13 4 TKN_NUM 14.54
13 9 TKN_SEMICOLON ;
14 1 TKN_ID a
14 2 TKN_ASSIGN :=
14 4 TKN_NUM 24.0
14 8 TKN_ADD +
14 9 TKN_NUM 4
14 10 TKN_MINUS -
14 11 TKN_NUM 1
14 12 TKN_MULTI *
14 13 TKN_NUM 3
14 14 TKN_DIV /
14 15 TKN_NUM 2
14 16 TKN_ADD +
14 17 TKN_NUM 34
14 19 TKN_MINUS -
14 20 TKN_NUM 1
14 21 TKN_SEMICOLON ;
15 1 TKN_CIN cin
15 5 TKN_ID a
